date,Open,High,Low,Close,Change,Volume,TTM P_E Ratio_NZZH_JSZB,Index Points_NZZH_JSZB,Percentile_NZZH_JSZB
2022-06-21,10974.05,11164.99,10974.05,11069.3,0.0251,4674343600,27.19,11607.62,25.76
2022-06-22,10941.95,11216.77,10938.06,11053.08,-0.0015,4637866000,27.19,11607.62,25.76
2022-06-23,11137.68,11260.27,11046.29,11232.19,0.0162,4682852200,27.19,11607.62,25.76
2022-06-24,11351.31,11613.23,11337.78,11607.62,0.0334,8953052900,27.19,11607.62,25.76
2022-06-27,11661.02,11677.49,11487.07,11524.55,-0.0072,4535387100,27.19,11607.62,25.76
2022-06-28,11542.24,11635.86,11177.68,11181.54,-0.0298,4859993700,27.19,11607.62,25.76
2022-06-29,11160.22,11226.33,11072.19,11177.89,-0.0003,5096810200,27.19,11607.62,25.76
2022-06-30,11048.25,11160.92,10850.01,11028.74,-0.0133,4921880200,27.19,11607.62,25.76
2022-07-01,11006.83,11132.55,10922.71,11127.85,0.009,4196464400,26.01,11127.85,22.03
2022-07-05,10964.18,11323.9,10911.45,11322.24,0.0175,4402043300,26.01,11127.85,22.03
2022-07-06,11337.9,11443.15,11250.32,11361.85,0.0035,4263284600,26.01,11127.85,22.03
2022-07-07,11422.6,11644.47,11412.88,11621.35,0.0228,4203588300,26.01,11127.85,22.03
2022-07-08,11503.61,11689.7,11479.77,11635.31,0.0012,822604100,27.23,11635.31,26.02
2022-07-11,11524.49,11541.1,11348.06,11372.6,-0.0226,3892114800,27.23,11635.31,26.02
2022-07-12,11420.89,11483.17,11207.08,11264.73,-0.0095,3753647000,27.23,11635.31,26.02
2022-07-13,11056.55,11325.67,11031.27,11247.58,-0.0015,3811050600,27.23,11635.31,26.02
2022-07-14,11151.21,11279.97,11005.93,11251.19,0.0003,3905266100,27.23,11635.31,26.02
2022-07-15,11379.36,11454.69,11295.33,11452.42,0.0179,3837316500,26.74,11452.42,24.32
2022-07-18,11561.64,11629.03,11322.84,11360.05,-0.0081,4546750400,26.74,11452.42,24.32
2022-07-19,11515.0,11721.22,11448.97,11713.15,0.0311,4820621400,26.74,11452.42,24.32
2022-07-20,11726.09,11939.96,11703.36,11897.65,0.0158,4851929200,26.74,11452.42,24.32
2022-07-21,11914.15,12060.59,11812.72,12059.61,0.0136,4120350600,26.74,11452.42,24.32
2022-07-22,12025.37,12093.02,11767.19,11834.11,-0.0187,4188897000,27.41,11834.11,26.86
2022-07-25,11837.96,11855.11,11707.53,11782.67,-0.0043,3881710900,27.41,11834.11,26.86
2022-07-26,11701.53,11711.31,11533.37,11562.57,-0.0187,3911309700,27.41,11834.11,26.86
2022-07-27,11756.19,12081.73,11718.38,12032.42,0.0406,4031228100,27.41,11834.11,26.86
2022-07-28,12036.48,12179.09,11886.67,12162.59,0.0108,4381584400,27.41,11834.11,26.86
2022-07-29,12239.69,12426.26,12181.13,12390.69,0.0188,4360470200,29.57,12390.69,37.46
2022-08-01,12317.96,12499.72,12271.98,12368.98,-0.0018,3859976200,29.57,12390.69,37.46
2022-08-02,12287.67,12503.34,12260.48,12348.76,-0.0016,4198294600,29.57,12390.69,37.46
2022-08-03,12433.87,12699.64,12425.21,12668.16,0.0259,5145671700,29.57,12390.69,37.46
2022-08-04,12675.04,12736.19,12600.78,12720.58,0.0041,4968196800,29.57,12390.69,37.46
2022-08-05,12538.8,12720.44,12525.77,12657.55,-0.005,4385223200,31.12,12657.55,47.29
2022-08-08,12703.72,12855.15,12597.75,12644.46,-0.001,4740856600,31.12,12657.55,47.29
2022-08-09,12557.49,12582.91,12438.86,12493.93,-0.0119,4866342600,31.12,12657.55,47.29
2022-08-10,12793.44,12861.44,12698.61,12854.8,0.0289,4635223600,31.12,12657.55,47.29
2022-08-11,12944.82,13026.24,12760.09,12779.91,-0.0058,5289500300,31.12,12657.55,47.29
2022-08-12,12866.31,13047.19,12821.22,13047.19,0.0209,4369367000,31.98,13047.19,51.36
2022-08-15,12996.63,13146.06,12993.78,13128.05,0.0062,4101916600,31.98,13047.19,51.36
2022-08-16,13082.64,13181.09,12979.24,13102.55,-0.0019,4580343900,31.98,13047.19,51.36
2022-08-17,12968.63,13053.51,12863.01,12938.12,-0.0125,4731570200,31.98,13047.19,51.36
2022-08-18,12937.79,13002.66,12873.49,12965.34,0.0021,4329089900,31.98,13047.19,51.36
2022-08-19,12832.27,12859.01,12674.87,12705.21,-0.0201,4181160900,31.12,12705.21,47.46
2022-08-22,12523.16,12538.55,12353.73,12381.57,-0.0255,3835893200,31.12,12705.21,47.46
2022-08-23,12380.37,12490.85,12352.03,12381.3,0.0,3402700700,31.12,12705.21,47.46
2022-08-24,12375.15,12504.33,12350.16,12431.53,0.0041,3552817700,31.12,12705.21,47.46
2022-08-25,12506.37,12641.26,12471.98,12639.27,0.0167,3845809300,31.12,12705.21,47.46
2022-08-26,12630.58,12655.84,12141.52,12141.71,-0.0394,3927238900,29.96,12141.71,39.83
2022-08-29,12021.05,12124.87,11981.42,12017.67,-0.0102,3717326300,29.96,12141.71,39.83
2022-08-30,12093.06,12101.85,11790.02,11883.14,-0.0112,4071454900,29.96,12141.71,39.83
2022-08-31,11972.56,12027.43,11814.17,11816.2,-0.0056,4401465400,29.96,12141.71,39.83
2022-09-01,11707.44,11798.37,11546.52,11785.13,-0.0026,4135608300,29.96,12141.71,39.83
2022-09-02,11899.14,11945.91,11573.51,11630.86,-0.0131,3606658900,28.72,11630.86,32.29
2022-09-06,11643.03,11679.43,11471.5,11544.91,-0.0074,3976610300,28.72,11630.86,32.29
2022-09-07,11559.38,11819.07,11555.08,11791.9,0.0214,3580502500,28.72,11630.86,32.29
2022-09-08,11679.86,11896.73,11660.53,11862.13,0.006,3738696400,28.72,11630.86,32.29
2022-09-09,11958.61,12132.67,11958.61,12112.31,0.0211,3897602500,29.91,12112.31,39.66
2022-09-12,12174.94,12270.19,12169.28,12266.41,0.0127,3724313000,29.91,12112.31,39.66
2022-09-13,11908.81,11957.97,11604.43,11633.57,-0.0516,4527349800,29.91,12112.31,39.66
2022-09-14,11680.41,11746.83,11602.76,11719.68,0.0074,4340971300,29.91,12112.31,39.66
2022-09-15,11633.24,11760.73,11497.11,11552.36,-0.0143,4209966500,29.91,12112.31,39.66
2022-09-16,11401.21,11460.43,11316.92,11448.4,-0.009,6536407900,28.29,11448.4,30.0
2022-09-19,11338.57,11538.13,11337.83,11535.02,0.0076,3697169300,28.29,11448.4,30.0
2022-09-20,11440.14,11520.99,11343.72,11425.05,-0.0095,3499962800,28.29,11448.4,30.0
2022-09-21,11466.21,11613.57,11218.99,11220.19,-0.0179,3779260000,28.29,11448.4,30.0
2022-09-22,11167.38,11203.77,11024.64,11066.8,-0.0137,4211645000,28.29,11448.4,30.0
2022-09-23,10952.69,10958.29,10732.72,10867.93,-0.018,4339624700,26.77,10867.93,24.41
2022-09-26,10833.38,11024.0,10789.05,10802.92,-0.006,3931725400,26.77,10867.93,24.41
2022-09-27,10955.29,11040.98,10741.02,10829.5,0.0025,3595081300,26.77,10867.93,24.41
2022-09-28,10817.52,11101.5,10776.34,11051.64,0.0205,3753692800,26.77,10867.93,24.41
2022-09-29,10894.44,10899.47,10623.22,10737.51,-0.0284,3741859300,26.77,10867.93,24.41
2022-09-30,10697.71,10883.04,10572.33,10575.62,-0.0151,3823840900,25.87,10575.62,21.44
2022-10-03,10659.01,10875.46,10577.89,10815.43,0.0227,3700106400,25.87,10575.62,21.44
2022-10-04,11054.72,11189.96,11044.04,11176.41,0.0334,4318329800,25.87,10575.62,21.44
2022-10-05,11022.67,11210.32,10910.76,11148.64,-0.0025,3446613100,25.87,10575.62,21.44
2022-10-06,11129.04,11230.44,11051.27,11073.31,-0.0068,3792397500,25.87,10575.62,21.44
2022-10-07,10877.28,10891.93,10608.52,10652.4,-0.038,3932502400,26.04,10652.4,22.37
2022-10-10,10659.95,10669.93,10449.04,10542.1,-0.0104,3398028200,26.04,10652.4,22.37
2022-10-11,10484.37,10608.84,10351.98,10426.19,-0.011,3902884500,26.04,10652.4,22.37
2022-10-12,10437.0,10494.53,10372.21,10417.1,-0.0009,3428489300,26.04,10652.4,22.37
2022-10-13,10131.82,10697.71,10088.83,10649.15,0.0223,4259796800,26.04,10652.4,22.37
2022-10-14,10742.81,10766.69,10308.81,10321.39,-0.0308,3562878400,26.19,10321.39,22.8
2022-10-17,10575.65,10696.59,10569.69,10675.8,0.0343,3748748600,26.19,10321.39,22.8
2022-10-18,10963.99,10972.97,10670.12,10772.4,0.009,4261073600,26.19,10321.39,22.8
2022-10-19,10689.31,10808.04,10592.88,10680.51,-0.0085,4288267900,26.19,10321.39,22.8
2022-10-20,10657.41,10837.3,10574.55,10614.84,-0.0061,3851002800,26.19,10321.39,22.8
2022-10-21,10576.04,10875.72,10542.43,10859.72,0.0231,3874194900,27.46,10859.72,27.12
2022-10-24,10867.07,10983.52,10713.33,10952.61,0.0086,4106286500,27.46,10859.72,27.12
2022-10-25,10996.97,11210.38,10996.97,11199.12,0.0225,4469807800,27.46,10859.72,27.12
2022-10-26,10969.02,11205.84,10948.38,10970.99,-0.0204,4522822000,27.46,10859.72,27.12
