feature_key,param_id,param_model,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,predictions,targets,predictions_path
"NZ100_LJ,NZZH_JSZB",e3282b32,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.2], 'lr': [0.001], 'batch_size': [32], 'epochs': [50]}",0.35681808,0.20054185,0.8072921605284172,1.7428385,3.11034,-7.402647201628932,"[10855.277 10868.469 10837.09  10840.038 10820.676 10988.082 11011.048
 11006.849 11081.805 11099.569 11166.247 11255.387 11288.651 11378.709
 11470.083 11644.616 11777.59  11797.137 11804.81  11899.354 12036.612
 12089.919 12106.184 12142.43  12214.151 12235.06 ]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\e3282b32.json"
"NZ100_LJ,NZZH_JSZB",2c50f941,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.2], 'lr': [0.001], 'batch_size': [32], 'epochs': [100]}",0.31142092,0.1501001,0.8557634541266889,1.6928365,2.9349315,-6.928777365680979,"[10927.617 10944.491 10895.762 10885.109 10857.159 11061.531 11090.604
 11062.032 11135.928 11148.601 11159.274 11231.429 11239.097 11347.08
 11473.625 11627.556 11777.098 11745.946 11721.625 11885.957 12076.02
 12157.175 12162.961 12240.367 12333.91  12358.62 ]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\2c50f941.json"
"NZ100_LJ,NZZH_JSZB",c2acc403,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.2], 'lr': [0.001], 'batch_size': [64], 'epochs': [50]}",0.479463,0.40326473,0.6124885129996842,1.8219229,3.372307,-8.110355251242979,"[11016.247  11036.046  11035.419  11033.668  11027.154  11090.579
 11136.85   11155.908  11182.49   11203.512  11243.275  11277.906
 11304.827  11342.884  11392.83   11512.362  11596.86   11636.175
 11650.8125 11694.194  11732.089  11777.832  11795.985  11807.276
 11850.684  11868.071 ]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\c2acc403.json"
"NZ100_LJ,NZZH_JSZB",0fa1882f,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.2], 'lr': [0.001], 'batch_size': [64], 'epochs': [100]}",0.23617779,0.08843112,0.9150233768797906,1.6804551,2.942083,-6.9480959260198505,"[10956.85   10944.884  10814.2705 10781.378  10717.734  11103.725
 11119.047  11024.513  11202.536  11207.641  11126.557  11196.231
 11171.098  11343.099  11524.126  11611.051  11731.422  11592.108
 11518.423  11806.006  12193.8545 12311.634  12254.604  12401.27
 12546.269  12551.949 ]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\0fa1882f.json"
"NZ100_LJ,NZZH_JSZB",0f4c5848,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.2], 'lr': [0.0005], 'batch_size': [32], 'epochs': [50]}",0.2244174,0.08081646,0.9223405710744259,1.6372612,2.8063543,-6.581422439552125,"[10982.207 10944.482 10772.894 10755.815 10696.29  11151.733 11128.145
 11017.421 11215.127 11219.112 11154.382 11260.829 11225.485 11417.769
 11604.818 11673.501 11808.886 11632.575 11542.127 11860.849 12218.539
 12352.429 12293.281 12400.342 12559.295 12581.567]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\0f4c5848.json"
"NZ100_LJ,NZZH_JSZB",74525c0b,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.2], 'lr': [0.0005], 'batch_size': [32], 'epochs': [100]}",0.2472595,0.094042696,0.9096310110632712,1.6596273,2.8450627,-6.685993882551693,"[10956.209  10937.227  10817.45   10798.635  10762.807  11124.655
 11145.095  11071.4795 11220.028  11231.419  11195.907  11268.877
 11244.551  11373.149  11518.795  11664.458  11783.844  11672.807
 11600.18   11806.371  12097.155  12243.7705 12251.837  12339.21
 12467.832  12504.566 ]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\74525c0b.json"
"NZ100_LJ,NZZH_JSZB",11ba0072,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.2], 'lr': [0.0005], 'batch_size': [64], 'epochs': [50]}",0.33366534,0.16725816,0.8392756659776364,1.7645142,3.2012062,-7.6481223353342305,"[10846.193 10868.    10853.228 10859.365 10855.115 11032.509 11053.295
 11041.627 11119.724 11133.128 11118.432 11156.834 11153.187 11214.584
 11287.988 11471.935 11652.293 11675.228 11704.179 11860.592 12077.225
 12154.805 12173.83  12240.701 12362.328 12389.405]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\11ba0072.json"
"NZ100_LJ,NZZH_JSZB",6c04d7f9,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.2], 'lr': [0.0005], 'batch_size': [64], 'epochs': [100]}",0.42551565,0.30211702,0.7096849653880286,1.8062294,3.304069,-7.926008456243027,"[10962.421 10976.893 10968.467 10976.457 10969.346 11054.987 11061.834
 11050.902 11085.261 11088.643 11157.199 11227.123 11263.394 11330.376
 11401.013 11540.69  11661.99  11707.845 11736.064 11789.08  11863.858
 11895.33  11917.511 11962.509 12001.709 12011.767]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\6c04d7f9.json"
"NZ100_LJ,NZZH_JSZB",967621ab,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.3], 'lr': [0.001], 'batch_size': [32], 'epochs': [50]}",0.36882228,0.20525217,0.8027658296910575,1.711863,3.0001574,-7.104984960716353,"[10871.728 10896.288 10882.531 10877.69  10877.353 11001.995 11050.755
 11058.717 11104.052 11135.262 11203.073 11270.424 11301.216 11363.678
 11449.469 11643.508 11781.521 11816.516 11829.752 11922.229 12047.464
 12111.29  12113.577 12154.17  12220.766 12245.447]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\967621ab.json"
"NZ100_LJ,NZZH_JSZB",e1a01ed1,"{'lookback': [10], 'hidden_size': [32], 'num_layers': [1], 'dropout_rate': [0.3], 'lr': [0.001], 'batch_size': [32], 'epochs': [100]}",0.32790616,0.16129039,0.8450102763579994,1.720275,3.0283523,-7.18115486815528,"[10910.014 10927.415 10891.165 10885.723 10876.581 11063.627 11104.468
 11098.72  11173.998 11194.612 11185.134 11215.048 11204.303 11269.836
 11353.969 11530.04  11672.761 11707.411 11714.005 11821.344 12018.158
 12155.951 12215.175 12234.087 12305.888 12361.282]","[12212.6    12080.51   12025.33   11966.4    12235.41   12256.92
 12179.55   12306.44   12328.51   12284.74   12365.21   12343.05
 12500.57   12688.84   12657.9    12720.78   12560.25   12484.16
 12698.09   12975.69   13017.43   12935.29   13100.9795 13240.7705
 13229.43   13276.42  ]","data_middle\NZ100_LJ,NZZH_JSZB\e1a01ed1.json"
